Name,Image URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
Corsair 4000D Airflow,//cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg,$104.99 ,Corsair,CC-9011200-WW,ATX Mid Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³"
NZXT H5 Flow,//cdna.pcpartpicker.com/static/forever/images/product/84cb77175187296029f50f8bf6ca6960.256p.jpg,$94.99 ,NZXT,CC-H51FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","365 mm / 14.37""","1 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"446 mm x 227 mm x 464 mm, 17.559"" x 8.937"" x 18.268""","46.976 L, 1.659 ft³"
NZXT H9 Flow,//cdna.pcpartpicker.com/static/forever/images/product/61eb5534e35ce8af07f25ff28197862b.256p.jpg,$159.99 ,NZXT,CM-H91FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
NZXT H9 Flow,//cdna.pcpartpicker.com/static/forever/images/product/15fb785fb4d0995e7cc7e28a6f2271d9.256p.jpg,$154.99 ,NZXT,CM-H91FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³"
Montech AIR 903 MAX,https://m.media-amazon.com/images/I/519WrOWiOhL.jpg,$75.00 ,Montech,"AIR 903 MAX (B), AIR 903 MAX B, AIR 903 MAX BLACK",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"478 mm x 230 mm x 493 mm, 18.819"" x 9.055"" x 19.409""","54.2 L, 1.914 ft³"
NZXT H6 Flow,//cdna.pcpartpicker.com/static/forever/images/product/f0363dfe4d946330b9b5f65a3b38722f.256p.jpg,$109.99 ,NZXT,CC-H61FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
Cooler Master MasterBox Q300L,//cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg,$46.98 ,Cooler Master,MCB-Q300L-KANN-S00,MicroATX Mini Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","360 mm / 14.173""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"387 mm x 230 mm x 378 mm, 15.236"" x 9.055"" x 14.882""","33.646 L, 1.188 ft³"
NZXT H6 Flow,//cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg,$101.29 ,NZXT,CC-H61FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
Montech X3 Mesh,//cdna.pcpartpicker.com/static/forever/images/product/9e7790ee9397346b4c023cc04296fb5e.256p.jpg,$64.98 ,Montech,"X3 Mesh Black, C004, X3 MESH BK, C21005160001",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","305 mm / 12.008""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Montech AIR 100 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/24adca630b5c708e106099fc958825a1.256p.jpg,,Montech,"AIR 100 ARGB Black, K005, AIR-100-ARGB-BK, K21004160003, AIR 100 ARGB (B)",MicroATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","330 mm / 12.992""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"405 mm x 210 mm x 425 mm, 15.945"" x 8.268"" x 16.732""","36.146 L, 1.276 ft³"
Fractal Design North,//cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg,$139.99 ,Fractal Design,FD-C-NOR1C-02,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","300 mm / 11.811"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447 mm x 215 mm x 469 mm, 17.598"" x 8.465"" x 18.465""","45.073 L, 1.592 ft³"
NZXT H6 Flow RGB,//cdna.pcpartpicker.com/static/forever/images/product/21f390a2caf255ac942d9f4d4899adee.256p.jpg,$132.99 ,NZXT,CC-H61FW-R1,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³"
Phanteks XT PRO,//cdna.pcpartpicker.com/static/forever/images/product/4beb27272519c97f098ceab48df1e12c.256p.jpg,$49.99 ,Phanteks,PH-XT523P1-BK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³"
Lian Li O11 Dynamic EVO,//cdna.pcpartpicker.com/static/forever/images/product/ea0dee3c3376cc6326ca2f4a73a054ac.256p.jpg,$234.15 ,Lian Li,"PC-O11DEW, O11DEW",ATX Mid Tower,White / Gray,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","422 mm / 16.614""","6 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"465 mm x 285 mm x 459 mm, 18.307"" x 11.22"" x 18.071""","60.829 L, 2.148 ft³"
Phanteks XT PRO ULTRA,//cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg,$69.99 ,Phanteks,PH-XT523P1-DBK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³"
Lian Li LANCOOL 216,//cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg,$99.99 ,Lian Li,"LANCOOL 216RX, G99.LAN216RX.00, PC-LAN216RX",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","392 mm / 15.433""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"480.9 mm x 235 mm x 491.7 mm, 18.933"" x 9.252"" x 19.358""","55.568 L, 1.962 ft³"
Deepcool CH370,//cdna.pcpartpicker.com/static/forever/images/product/2fad46b6561866155338a1cd7afa4712.256p.jpg,$59.41 ,Deepcool,"R-CH370-BKNAM1-G-1, CH370",MicroATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"413 mm x 215 mm x 431 mm, 16.26"" x 8.465"" x 16.969""","38.271 L, 1.352 ft³"
Silverstone ALTA F2,//cdna.pcpartpicker.com/static/forever/images/product/4ff42fa090d41392739d099e28baf56f.256p.jpg,$999.99 ,Silverstone,SST-ALF2B-G,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB, XL ATX","604 mm / 23.78""","8 x Internal 3.5"", 3 x Internal 2.5""","9 x Full-Height, 4 x Full-Height via Riser","658 mm x 261 mm x 576 mm, 25.906"" x 10.276"" x 22.677""","98.921 L, 3.493 ft³"
Deepcool CC560 V2,//cdna.pcpartpicker.com/static/forever/images/product/b4eee8314bb582edeb59eef06376bf4c.256p.jpg,$59.99 ,Deepcool,"R-CC560-BKGAA4-G-2, CC560 V2, CC560 V2-AMAZON",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","370 mm / 14.567""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"432 mm x 215 mm x 483 mm, 17.008"" x 8.465"" x 19.016""","44.861 L, 1.584 ft³"
Deepcool MATREXX 40,//cdna.pcpartpicker.com/static/forever/images/product/b32fb28bca9fb6780a07e11767da9f38.256p.jpg,$54.99 ,Deepcool,"DP-MATX-MATREXX40, MATREXX 40",MicroATX Mini Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,,
NZXT H5 Flow,//cdna.pcpartpicker.com/static/forever/images/product/6c58fbf47cba2aca9c9a56ff028fe5d9.256p.jpg,$92.99 ,NZXT,CC-H51FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","365 mm / 14.37""","1 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"446 mm x 227 mm x 464 mm, 17.559"" x 8.937"" x 18.268""","46.976 L, 1.659 ft³"
