Name,Image URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
Thermalright Peerless Assassin 120 SE,https://m.media-amazon.com/images/I/41hFTmi5aUL.jpg,$33.90 ,Thermalright,Peerless Assassin 120 SE,"PA120 SE-D3, PA120 SE, PA120 SE D6-CAD, PA120 SE 1700, PA120 SE 1700-d6",1550 RPM,25.6 dB,Black,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
NZXT Kraken Elite 360 RGB,//cdna.pcpartpicker.com/static/forever/images/product/49ed312d967c71e5bf866285deee9f9c.256p.jpg,$271.99 ,NZXT,Kraken Elite 360 RGB,RL-KR36E-W1,500 - 1800 RPM,17.9 - 30.6 dB,White,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Cooler Master MASTERLIQUID ML240L RGB V2,//cdna.pcpartpicker.com/static/forever/images/product/5b6a5e7f4cf456ccf6415235cf7adc99.256p.jpg,$104.99 ,Cooler Master,MASTERLIQUID ML240L RGB V2,MLW-D24M-A18PC-R2,650 - 1800 RPM,6 - 27 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Deepcool GAMMAXX AG400 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/9464a59a8e91c8203397a01ab96d0ec7.256p.jpg,$28.98 ,Deepcool,N/A,"R-AG400-BKANMC-G-2, AG400 BK ARGB-AMAZON, AG400 BK ARGB",500 - 2000 RPM,31.6 dB,Black,150 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,9
Corsair iCUE H150i ELITE CAPELLIX XT,//cdna.pcpartpicker.com/static/forever/images/product/12bfecb3325a384ef35e38ada6b8bca3.256p.jpg,$189.99 ,Corsair,iCUE H150i ELITE CAPELLIX XT,CW-9060070-WW,550 - 2100 RPM,5 - 34.1 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Noctua NH-D15 chromax.black,https://m.media-amazon.com/images/I/51kgqhkUNuL.jpg,$119.95 ,Noctua,NH-D15 chromax.black,"NH-D15 CHROMAX.BLACK, NH-D15 CH.BK, NH-D15-CH-BK",300 - 1500 RPM,19.2 - 24.6 dB,Black,165 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
NZXT Kraken 240,//cdna.pcpartpicker.com/static/forever/images/product/157afeba59d05304fe181106745e6177.256p.jpg,$120.99 ,NZXT,Kraken 240,RL-KN240-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 240 mm,No,10
Thermalright Phantom Spirit 120 SE,https://m.media-amazon.com/images/I/51kJe8EOqjL.jpg,$35.90 ,Thermalright,Phantom Spirit 120 SE,"PS120SE, PS120 SE D6-CAD, PHANTOM-SPIRIT-120-SE",1500 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Deepcool AK620 ZERO DARK,//cdna.pcpartpicker.com/static/forever/images/product/048ee8d7e1ab67674cc0aac0e4e0e281.256p.jpg,$61.98 ,Deepcool,AK620 ZERO DARK,"R-AK620-BKNNMT-G-1, AK620 ZERO DARK",500 - 1850 RPM,28 dB,Black,160 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Deepcool LS720 SE WH,https://m.media-amazon.com/images/I/31cc4omxokL.jpg,$99.99 ,Deepcool,N/A,"LS720 SE WH, R-LS720-WHAMMM-G-1",500 - 2250 RPM,28.2 - 32.9 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
ARCTIC Liquid Freezer III,https://m.media-amazon.com/images/I/31C4DlmScnL.jpg,$116.99 ,ARCTIC,N/A,ACFRE00136A,200 - 1800 RPM,N/A,Black,N/A,"AM4, AM5, LGA1700",Yes - 360 mm,No,7
NZXT Kraken Elite 360 RGB,//cdna.pcpartpicker.com/static/forever/images/product/00f3005287758516d8b319cefd625a13.256p.jpg,$276.37 ,NZXT,Kraken Elite 360 RGB,RL-KR36E-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,60 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Cooler Master Hyper 212 Black Edition,//cdna.pcpartpicker.com/static/forever/images/product/716d4c601ae190184020710e098e7b36.256p.jpg,$29.99 ,Cooler Master,Hyper 212 Black Edition,RR-212S-20PK-R1,650 - 2000 RPM,6.5 - 26 dB,Black,159 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,10
Thermalright Assassin X 120 Refined SE,https://m.media-amazon.com/images/I/41aJwdGRuAL.jpg,$17.89 ,Thermalright,Assassin X 120 Refined SE,"AX120 SE-D3, AX120 Refined SE",1550 RPM,25.6 dB,Black / Silver,148 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Deepcool LS720 SE,https://m.media-amazon.com/images/I/41lhOsw+ACL.jpg,$89.99 ,Deepcool,N/A,"LS720 SE, R-LS720-BKAMMM-G-1",500 - 2250 RPM,28.2 - 32.9 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
Thermalright Peerless Assassin 120 SE WHITE ARGB,//cdna.pcpartpicker.com/static/forever/images/product/c09b33bf4c2452bbc71fac7691860f4a.256p.jpg,$36.99 ,Thermalright,Peerless Assassin 120 SE WHITE ARGB,"PA120 SE White ARGB, PA120 SE White ARGB-D3, PA120 SE ARGB White-D1, PA120 SE WHITE ARGB D6-CAD",1550 RPM,25.6 dB,White,155 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
NZXT Kraken 360,//cdna.pcpartpicker.com/static/forever/images/product/e71bea262e634ec0decd5847c6e4d0a1.256p.jpg,,NZXT,Kraken 360,RL-KN360-B1,500 - 1800 RPM,17.9 - 30.6 dB,Black,56 mm,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,10
Noctua NH-D15,//cdna.pcpartpicker.com/static/forever/images/product/ca16d42d3e187f96c728c09183df14a7.med.256p.jpg,$109.95 ,Noctua,N/A,NH-D15,300 - 1500 RPM,19.2 - 24.6 dB,N/A,165 mm,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",No,No,8
Thermalright Phantom Spirit 120 SE ARGB,https://m.media-amazon.com/images/I/51KizlEeQZL.jpg,$35.90 ,Thermalright,Phantom Spirit 120 SE ARGB,"PS120SE ARGB, PS120 SE ARGB D6-CAD, Phantom Spirit 120 SE ARGB",1500 RPM,25.6 dB,Black / Silver,154 mm,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
Corsair iCUE H100i RGB ELITE,//cdna.pcpartpicker.com/static/forever/images/product/076dcbc1ba5e06eafb25c91e17dbef75.256p.jpg,$119.99 ,Corsair,iCUE H100i RGB ELITE,CW-9060058-WW,400 - 1850 RPM,5 - 28.9 dB,Black,N/A,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Corsair iCUE H100x RGB ELITE,//cdna.pcpartpicker.com/static/forever/images/product/910431067172593d99eb5c6c6f6ca70e.256p.jpg,$99.99 ,Corsair,iCUE H100x RGB ELITE,"CW-9060065-WW, CW-9060065-WW2",1500 RPM,7 - 28 dB,Black,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
