Name,Image URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 7 7800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,$269.00 ,AMD,100-100000910WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,4.2 GHz,5 GHz,,,8 MB,96 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 7600X,//cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,$159.00 ,AMD,100-100000593WOF,AMD Ryzen 5,Zen 4,Raphael,AM5,6,4.7 GHz,5.3 GHz,,,6 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5600X,//cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,$129.99 ,AMD,100-100000065BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,3.7 GHz,4.6 GHz,,,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 7600,//cdna.pcpartpicker.com/static/forever/images/product/4a9bfe0a3f46152eea8bea46c54e1775.256p.jpg,$189.00 ,AMD,100-100001015BOX,AMD Ryzen 5,Zen 4,Raphael,AM5,6,3.8 GHz,5.1 GHz,,,6 MB,32 MB,65 W,Radeon,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
Intel Core i9-14900K,//cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,$534.99 ,Intel,BX8071514900K,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,3.2 GHz,6 GHz,2.4 GHz,4.4 GHz,32 MB,36 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i7-14700K,//cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg,$389.99 ,Intel,BX8071514700K,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,3.4 GHz,5.6 GHz,2.5 GHz,4.3 GHz,28 MB,33 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-12400F,//cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg,$128.33 ,Intel,BX8071512400F,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,2.5 GHz,4.4 GHz,,,7.5 MB,18 MB,65 W,None,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 3600,//cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,$84.00 ,AMD,"Ryzen 5 3600, 100-100000031BOX",AMD Ryzen 5,Zen 2,Matisse,AM4,6,3.6 GHz,4.2 GHz,,,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 7700X,//cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,$287.00 ,AMD,100-100000591WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,4.5 GHz,5.4 GHz,,,8 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 9 7950X3D,//cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg,$567.00 ,AMD,100-100000908WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,16,4.2 GHz,5.7 GHz,,,16 MB,128 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5600,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,$139.00 ,AMD,100-100000927BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,3.5 GHz,4.4 GHz,,,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 5800X,//cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,$159.00 ,AMD,100-100000063WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,3.8 GHz,4.7 GHz,,,4 MB,32 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 5 5500,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,$92.99 ,AMD,100-100000457BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,3.6 GHz,4.2 GHz,,,3 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i5-12600KF,//cdna.pcpartpicker.com/static/forever/images/product/01163d618db9518d03041c9997e23bb1.256p.jpg,$150.00 ,Intel,BX8071512600KF,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,3.7 GHz,4.9 GHz,2.8 GHz,3.6 GHz,9.5 MB,20 MB,125 W,None,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
