title,price,rating,image,screen_size,screen_resolution,max_screen_resolution,processor,num_processors,ram,memory_type,graphics_coprocessor,chipset_brand,hard_drive,flash_memory_size,hard_drive_interface,wireless_type,num_usb_3_ports,operating_system,item_weight,product_dimensions,brand,series,model_number
"HP 14"" HD (1366 x 768) Display Laptop, Intel Celeron N4120, 1.1GHz, 4GB Memory, 128GB eMMC, Windows 11 Home in S Mode, One Year Office 365 Included, Natural Silver, 14-dq0760dx",209.,4.5 out of 5 stars,https://m.media-amazon.com/images/I/41n7GDGpz8L.jpg; https://m.media-amazon.com/images/I/41YudYVcEaL.jpg; https://m.media-amazon.com/images/I/41oXaGPT8LL.jpg; https://m.media-amazon.com/images/I/41q6W9MBUIL.jpg; https://m.media-amazon.com/images/I/31dyN-zNr+L.jpg; https://m.media-amazon.com/images/I/31xs96s5vlL.jpg; https://m.media-amazon.com/images/I/410Iq0KPr+L.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,1.1 GHz celeron_n,1,4 4GB DDR4,DDR4 SDRAM,Intel HD Graphics 4400,Intel,128 GB Emmc,128 GB,Serial ATA,802.11ax,3,Windows 11 Home,3.3 pounds,12.76 x 0.71 x 3.24 inches,HP,14-dq0760dx,14-dq0760dx
"HP 15.6"" Laptop, Intel Core i5-1135G7 Processor, Intel Iris Xe Graphics, 15.6"" FHD Anti-Glare Display, Online Meeting Ready, HDMI, Wi-Fi and Bluetooth, Windows 11 Home(16GB RAM | 1TB SSD)",428.,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41A3EaASXjL.jpg; https://m.media-amazon.com/images/I/41utOIPqzsL.jpg; https://m.media-amazon.com/images/I/51SMsr3kcaL.jpg; https://m.media-amazon.com/images/I/51OfvnpppjL.jpg; https://m.media-amazon.com/images/I/51jWA0e0TaL.jpg; https://m.media-amazon.com/images/I/61k8WMy4eKL.jpg; https://m.media-amazon.com/images/I/41l+TQ7EluL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.2 GHz apple_ci5,4,16 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,1 TB SSD,1 TB,Serial ATA,"802.11a/b/g/n/ac, Bluetooth",1,Windows 11,3.72 pounds,15 x 10 x 4 inches,HP,"HP 15.6""",Laptop
"HP 14 inch Laptop, HD Display, Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, Natural Silver, 14-dq5009nr",304.,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41JuhkrJeqL.jpg; https://m.media-amazon.com/images/I/51Q2l1xQQJL.jpg; https://m.media-amazon.com/images/I/51ayND+FOqL.jpg; https://m.media-amazon.com/images/I/41doi6PVS+L.jpg; https://m.media-amazon.com/images/I/41Vn-qeEjhL.jpg; https://m.media-amazon.com/images/I/51L77i3RiwL.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,4.4 GHz core_i3,6,8 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,256 GB SSD,256 GB,,"802.11a/b/g/n/ac, Bluetooth",2,Windows 11 Home,4.36 pounds,12.76 x 0.71 x 8.86 inches,HP,HP Laptop 14-dq5009nr,14-dq5009nR
"HP - 15.6"" Touch-Screen Laptop - Intel Core i3-1115G4-8GB Memory - 256GB SSD - Bluetooth - Wi-Fi - Windows 11 - Natural Silver, W/GaLiMu",328.,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41DHACEnLhL.jpg; https://m.media-amazon.com/images/I/414aoR6pNDL.jpg; https://m.media-amazon.com/images/I/415U1uIr-ML.jpg; https://m.media-amazon.com/images/I/312y4SxqNPL.jpg; https://m.media-amazon.com/images/I/41Ydv0trSgL.jpg; https://m.media-amazon.com/images/I/41s1wMKZOhL.jpg,15.6 Inches,1366 x 768 pixels,1366 x 768 Pixels,4.1 GHz core_i3_1115g4,2,8 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,256 GB SSD,256 GB,,"Bluetooth, 802.11a/b/g/n/ac",3,Windows 11,3.75 pounds,0.71 x 9.53 x 14.1 inches,HP,HP Imagepad,Intel Core i3-1115G4
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 8GB RAM, 256GB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",415.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41BJTtSNIVL.jpg; https://m.media-amazon.com/images/I/41L18thEH1L.jpg; https://m.media-amazon.com/images/I/411NYXMq2NL.jpg; https://m.media-amazon.com/images/I/31kq-HqOFFL.jpg; https://m.media-amazon.com/images/I/21a-VeCqiBL.jpg,17.3 Inches,1600 x 900 pixels,1600 x 900 Pixels,2 GHz core_i3_family,4,8 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,256 GB SSD,,PCIE x 4,Bluetooth,2,Windows 11 Home,4.6 pounds,15.78 x 10.15 x 0.78 inches,HP,TPN-I139_320M3AV,TPN-I139_320M3AV
"HP 15.6"" HD Touchscreen Laptop, Intel Core i5-1235U, 16GB RAM, 1TB PCIe SSD, Webcam, HDMI, Numeric Keypad, Wi-Fi 6, Windows 11 Home, Silver, Bundle with Thunderobot ML101 Wireless Mouse",779.,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51qP25eSt5L.jpg; https://m.media-amazon.com/images/I/41EtUf+njpL.jpg; https://m.media-amazon.com/images/I/51gSuMkqY9L.jpg; https://m.media-amazon.com/images/I/41Zv5nSURcL.jpg; https://m.media-amazon.com/images/I/41xAuujbX+L.jpg; https://m.media-amazon.com/images/I/41GjYgqEpqL.jpg; https://m.media-amazon.com/images/I/51yF2PTDqOL.jpg,15.6 Inches,1366 x 768 pixels,1366 x 768 Pixels,4.4 GHz core_i5_family,10,16 GB,DDR4 SDRAM,Intel UHD Graphics,,1 TB SSD,,PCIE x 4,802.11ax,3,Windows 11 Home,8 pounds,14.17 x 9.29 x 0.73 inches,HP,15-fd0005dx,15-fd0005dx
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0030nr, Pale Rose Gold)",200.,4.1 out of 5 stars,https://m.media-amazon.com/images/I/418FaPSLSiS.jpg; https://m.media-amazon.com/images/I/51qaP9tYl3L.jpg; https://m.media-amazon.com/images/I/41VeP7TwD8S.jpg; https://m.media-amazon.com/images/I/41Di8k6GgdS.jpg; https://m.media-amazon.com/images/I/31hAUzV6pbS.jpg; https://m.media-amazon.com/images/I/41ud1wg-NGS.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,2,4 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,64 GB Emmc,4 GB,PCIE x 8,"802.11a/b/g/n/ac, Bluetooth",,Windows 10 Home,3.24 pounds,12.76 x 8.86 x 0.71 inches,HP,14-dq0030nr,14-dq0030nr
"HP 17.3 inch Laptop, FHD Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, 17-cp2099nr (2024)",499.,4.5 out of 5 stars,https://m.media-amazon.com/images/I/41+3-TFFNGL.jpg; https://m.media-amazon.com/images/I/41dKFJ-7aIL.jpg; https://m.media-amazon.com/images/I/51iX+Z5FDnL.jpg; https://m.media-amazon.com/images/I/51Bd-qBtFdL.jpg; https://m.media-amazon.com/images/I/41Q82MIJqLL.jpg; https://m.media-amazon.com/images/I/51Cz47POt1L.jpg,17.3 Inches,1920 x 1080 pixels,1920 x 1080 pixels,4.3 GHz ryzen_5,4,16 GB DDR5,DDR5 RAM,AMD Radeon Graphics,AMD,512 GB SSD,,eSATA,"802.11a/b/g/n/ac, Bluetooth",1,Windows 11 Home,6.29 pounds,15.78 x 0.78 x 10.15 inches,HP,HP Laptop 17-cp2099nr,AMD RyzenTM 5 7520U
"HP Stream 14"" HD Laptop | Intel Celeron N4120 Processor, Intel UHD Graphics 600, Microsoft Office 365, 4GB RAM | 128GB Storage, Fast Charge, HDMI, Up to 11 Hours Long Battery Life, Win 11 S",189.,Previous page of related Sponsored Products,https://m.media-amazon.com/images/I/51x2k4LhXSL.jpg; https://m.media-amazon.com/images/I/51obuoFE5GL.jpg; https://m.media-amazon.com/images/I/61CpD7JbfOL.jpg; https://m.media-amazon.com/images/I/515ILj0iryL.jpg; https://m.media-amazon.com/images/I/51fLnUqXBUL.jpg; https://m.media-amazon.com/images/I/51WwDE9ucrL.jpg; https://m.media-amazon.com/images/I/41X799Q-wjL.jpg,14 Inches,1366 x 768 pixels,1366x768 Pixels,1.1 GHz celeron_n4000,4,DDR4,DDR4 SDRAM,Intel UHD Graphics 600,Intel,128 GB Emmc,,,802.11n,3,Windows 11 S,4.19 pounds,12.76 x 0.71 x 8.86 inches,HP,HP Stream 14,HP Stream 14
"HP 15.6"" Full HD Touchscreen Laptop, 16GB RAM, 1TB SSD Storage, Intel Core i7-1255U Processor up to 4.7GHz, Long Battery Life, HD Camera, HDMI, Windows 11, Natural Silver, W/GaLiMu",620.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/41hwPTxpUmL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7,10,16 GB DDR4,DDR4 SDRAM,Intel Iris Xe Graphics,Intel,1 TB SSD,16 GB,Solid State,801.11ac,,Windows 11,3.75 pounds,14.11 x 9.53 x 0.71 inches,HP,15.6 FHD,15.6 FHD
